id,owner_id,title,description,daily_rate,created_at,condition,is_available
1,25,Re-contextualized 6thgeneration algorithm,"We side enough. Short indicate police marriage phone.
Lot source rate father authority. Citizen indeed less future.",121.2,2024-07-30T17:54:45.880254,Fair,False
2,17,Seamless intangible encryption,"Value return couple city you level. Market bed hotel lead drive.
Any example our successful pull experience. Suggest issue think. Shake hand hundred now crime network. Hit late near stay.",194.36,2025-03-05T08:05:54.476840,New,False
3,47,Reduced fault-tolerant utilization,Others enter pretty. Officer return on color pick people subject challenge. All way body affect finish. Include data maybe particularly.,27.34,2025-03-02T18:50:54.826470,Good,False
4,22,Innovative zero administration forecast,"First give value somebody event business quality. Time house generation significant chair among.
Under pretty section degree still even. Receive case past only drug prove most.",26.75,2025-02-16T22:48:52.086925,Fair,True
5,30,Phased mission-critical projection,"Fly position traditional become off. School sure also TV individual study value.
Small control see the face also.
Owner up friend lawyer political modern threat. Surface life cover both.",5.63,2024-07-08T15:09:43.472034,Good,False
6,49,Fully-configurable 24hour firmware,"Land environment form old of. President realize artist brother fill. Rather type thousand show real police.
Pass despite card check security paper. Reduce tree serious soon stay seven.",39.84,2024-11-13T03:52:04.084083,New,False
7,20,Integrated uniform adapter,Staff second official and general. Must art thus worry. All important shoulder she within position inside.,169.13,2024-08-14T08:21:07.264497,Like New,True
8,24,Multi-tiered discrete encryption,Choice country themselves she allow produce. She this administration deal beyond almost our reflect. Each analysis keep.,153.69,2024-05-15T09:43:22.786839,New,False
9,21,Synergistic interactive open architecture,Win walk provide. Five indicate chance heavy senior list support. Tax certain leg arm include.,100.28,2025-02-26T19:53:18.449829,New,True
10,20,Decentralized value-added system engine,"Receive region however dream focus. Herself move grow end mention. Letter sort reveal seven floor data fine.
Ten scientist administration network once result far.",51.69,2024-09-06T19:00:40.234308,Like New,False
11,6,Quality-focused secondary approach,Stuff avoid stand. Share include successful. Attack character despite lay art.,21.7,2024-10-04T19:13:15.710934,Fair,True
12,49,Total directional framework,"Behavior here need. Pm reflect bar suddenly.
With wind thus try discover top realize. Little another avoid understand tonight nor allow. Administration debate certain star start up.",108.88,2024-04-01T01:14:15.127106,Like New,True
13,43,Optional discrete archive,Shoulder western however similar ahead event yeah make. Need heart control one herself sign. Something require bank child Republican.,97.68,2024-04-19T03:59:18.638787,Like New,True
